Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bennedict Mathurin,22,IND,SG,28,23,921,13.7,.592,.327,.396,4.3,17.1,10.8,7.6,1.1,1.0,12.9,22.0,0.7,0.5,1.2,.061,-1.3,-2.0,-3.3,-0.3,,32.9,5.8,12.4,.465,1.5,4.0,.372,8.3,.511,.526,4.2,4.9,.854,5.0,6.2,1.8,0.8,0.4,2.1,2.5,17.2
Anthony Davis,31,LAL,C,26,26,918,27.8,.604,.122,.465,8.5,28.6,18.6,17.0,1.8,5.6,8.8,30.8,2.6,1.4,4.0,.208,5.0,0.9,5.9,1.8,,35.3,10.0,18.9,.526,0.7,2.3,.300,9.3,16.6,.558,.545,6.9,.786,2.7,9.0,11.7,3.3,1.3,2.2,2.2,2.0,27.5
James Harden,35,LAC,PG,27,27,912,19.9,.572,.511,.456,1.8,19.5,10.6,38.0,2.3,1.9,19.1,30.7,1.1,1.5,2.6,.135,3.2,1.1,4.3,1.5,,33.8,6.3,16.1,.392,2.9,8.3,.354,3.4,7.9,.432,.483,6.6,7.4,.894,0.6,5.8,6.4,8.3,1.6,0.6,4.6,22.2
Jayson Tatum,26,BOS,PF,25,25,911,22.9,.595,.512,.363,1.5,25.5,13.5,25.2,1.6,1.2,10.4,31.3,2.3,1.4,3.7,.193,5.1,1.0,6.1,1.8,,36.4,9.3,20.5,.453,3.8,10.5,.359,5.5,10.0,.552,.545,6.0,7.4,.801,0.5,8.5,9.0,5.5,0.5,2.8,2.6,28.3
Ivica Zubac,27,LAC,C,28,28,902,19.9,.610,.000,.265,13.4,29.7,21.5,12.6,0.9,3.2,13.5,19.2,1.7,1.5,3.2,.170,1.1,0.2,1.3,0.7,,32.2,6.8,11.1,0.0,0.0,6.8,11.1,1.6,2.9,.537,3.9,8.4,12.3,2.5,0.6,1.0,1.9,2.0,15.1
Derrick White,30,BOS,SG,26,26,898,18.2,.618,.711,.174,3.6,11.8,7.7,20.4,1.5,2.9,9.2,19.3,2.4,1.1,3.5,.186,3.6,0.8,4.4,1.4,,34.5,5.9,13.0,.451,3.7,9.3,.394,2.2,3.8,.592,.591,1.9,2.3,.847,1.2,3.7,4.9,4.8,2.2,17.3
Fred VanVleet,30,HOU,PG,25,25,885,13.8,.496,.552,.193,1.9,10.7,6.2,24.4,2.0,1.2,8.2,19.5,1.0,1.5,2.5,.135,0.0,1.5,1.5,0.8,,35.4,5.3,14.1,.377,2.4,7.8,.303,3.0,6.3,.468,.460,2.2,2.7,.809,0.6,3.6,4.2,6.1,0.5,1.4,2.4,15.2
Rudy Gobert,32,MIN,C,26,26,883,15.6,.676,.000,.560,11.0,24.2,17.7,8.1,1.1,3.8,17.1,11.9,1.7,1.6,3.4,.182,-1.2,1.6,0.4,0.5,,34.0,3.9,6.1,.635,0.0,0.0,3.9,6.1,.635,.635,2.5,.742,3.3,7.5,10.7,1.9,0.8,1.4,2.8,10.3
Jalen Green,22,HOU,SG,27,27,879,13.4,.534,.477,.265,1.6,13.5,7.5,12.4,1.6,0.8,13.0,26.7,0.0,1.5,1.5,.079,-0.5,0.1,-0.4,0.3,,32.6,6.6,16.4,.405,2.5,7.8,.318,4.1,8.6,.485,.481,3.8,4.3,.872,0.5,4.1,4.7,2.6,1.1,2.7,1.8,19.5
Michael Porter Jr.,26,DEN,SF,25,25,877,16.2,.609,.427,.179,5.0,16.6,11.0,11.4,1.2,0.9,8.0,19.7,1.5,0.6,2.2,.119,1.6,-1.3,0.3,0.5,,35.1,7.2,14.0,.513,2.3,6.0,.387,4.9,.607,.595,1.7,2.5,.683,5.5,7.1,2.8,0.4,1.3,18.4
Dyson Daniels,21,ATL,SG,26,26,877,13.0,.503,.308,.129,5.2,11.0,8.1,13.7,4.0,2.5,12.5,17.7,-0.1,1.2,1.1,.059,-2.8,2.2,-0.6,0.3,,33.7,5.5,12.2,.447,3.8,.296,4.3,8.5,.514,.492,1.0,1.6,.610,1.7,3.4,5.1,3.3,2.9,0.9,1.8,2.8
Bam Adebayo,27,MIA,C,25,25,876,17.6,.520,.203,.293,7.9,23.8,15.9,21.8,2.0,2.1,11.4,21.9,0.9,1.4,2.3,.125,0.3,1.2,1.4,0.8,,35.0,6.2,13.8,.449,2.8,.329,5.3,11.0,.480,.483,2.9,4.0,.713,2.6,7.7,10.2,4.9,16.2
Jalen Williams,23,OKC,SG,27,27,874,21.5,.582,.306,.198,2.9,16.2,9.6,24.8,2.8,2.5,11.1,27.8,1.4,2.0,3.4,.188,3.3,2.2,5.5,1.7,,32.4,8.5,17.2,.494,5.3,.387,6.4,11.9,.540,.553,2.7,.804,0.9,5.0,5.9,5.0,1.9,0.8,2.3,2.6,21.7
LeBron James,40,LAL,SF,25,25,874,20.6,.574,.318,.250,3.2,22.2,12.7,43.5,0.9,1.7,17.0,29.6,1.0,0.7,1.7,.095,4.0,-0.5,3.5,1.2,,35.0,8.6,17.8,.486,2.0,5.6,.362,6.6,12.1,.545,.544,3.3,4.4,.748,6.9,7.9,9.0,0.6,22.6
Tyler Herro,25,MIA,SG,25,25,873,20.1,.623,.565,.209,1.2,15.9,8.6,24.0,1.2,0.2,11.0,27.3,1.9,0.9,2.7,.150,4.6,-0.7,3.9,1.3,,34.9,8.5,17.8,.475,4.1,10.1,.409,4.4,7.8,.562,.591,3.2,3.7,.860,0.4,5.1,5.5,4.8,0.8,0.1,2.4,1.6,24.3
Cade Cunningham,23,DET,PG,24,24,870,19.3,.551,.322,.215,3.3,18.8,11.2,44.7,1.1,2.4,17.3,30.9,0.8,0.9,1.7,.092,3.2,0.0,3.2,1.1,,36.3,9.0,19.8,.457,2.5,6.4,.386,6.6,13.4,.491,.519,4.3,.784,6.3,7.3,9.6,4.5,2.8,23.9
Ochai Agbaji,24,TOR,SG,28,26,867,12.8,.636,.460,.097,3.2,11.5,7.3,8.6,1.5,1.7,8.2,13.5,1.3,0.5,1.8,.098,-0.1,0.1,0.1,0.4,,31.0,4.7,8.9,.528,4.1,.447,2.9,4.8,.597,.631,0.6,0.9,.667,0.9,4.1,1.9,1.0,0.8,2.4,11.8
Karl-Anthony Towns,29,NYK,C,25,25,862,26.5,.656,.311,.367,10.3,35.4,23.5,15.3,1.3,2.8,12.0,27.7,3.0,1.4,4.4,.244,5.2,0.4,5.6,1.7,,34.5,8.8,16.4,.535,2.4,5.1,.461,6.4,11.3,.569,.607,5.1,6.0,.841,11.2,14.2,3.4,0.9,1.0,2.6,3.4,25.0
Nikola VuÄeviÄ,34,CHI,C,27,27,858,22.9,.689,.322,.165,6.5,25.5,16.1,16.1,1.1,2.2,10.5,22.2,2.6,0.8,3.3,.187,4.3,-0.1,4.3,1.4,,31.8,8.4,14.1,.592,4.6,.480,6.2,9.6,.645,.669,2.0,2.3,.857,1.9,7.8,9.7,0.7,1.8,2.4,20.9
Ayo Dosunmu,25,CHI,SG,28,15,858,13.9,.595,.408,.183,2.1,11.2,6.8,20.3,1.1,1.4,10.2,16.6,1.4,0.4,1.8,.101,-0.4,-0.6,-1.0,0.2,,30.6,5.1,10.1,.500,4.1,.336,3.7,6.0,.613,.569,1.5,1.9,.808,0.6,3.3,3.9,4.6,0.8,0.5,1.3,2.3,13.0
Donovan Mitchell,28,CLE,SG,27,27,857,20.8,.582,.495,.206,1.9,14.2,8.2,21.4,2.5,0.9,9.2,30.2,1.6,1.2,2.8,.157,3.1,0.1,3.2,1.1,,31.7,8.4,18.5,.453,3.7,9.1,.405,4.7,9.3,.500,.553,3.0,3.8,.796,0.5,4.2,4.7,4.5,0.3,2.0,2.2,23.5
Julius Randle,30,MIN,PF,26,26,855,18.0,.600,.330,.399,6.2,16.5,11.4,19.8,1.2,0.4,13.9,26.1,1.5,1.2,2.6,.148,1.2,-0.1,1.2,0.7,,32.9,6.9,14.3,.483,1.7,4.7,.358,5.2,9.6,.544,.542,4.7,5.7,.819,1.8,4.9,6.7,3.9,0.8,0.2,2.7,20.2
Kentavious Caldwell-Pope,31,ORL,SG,28,28,852,9.0,.532,.660,.175,1.4,6.6,3.9,8.6,2.6,1.8,9.6,12.1,0.3,1.4,1.7,.093,-3.7,2.3,-1.4,0.1,,30.4,2.8,7.1,.395,4.7,.303,2.4,.574,.495,1.1,1.3,.886,0.4,1.6,2.0,1.9,1.6,0.6,0.8,2.1,8.2
Coby White,24,CHI,SG,26,26,850,13.5,.571,.612,.233,1.3,10.3,5.8,19.3,1.6,0.5,13.0,23.0,0.6,0.4,1.0,.055,-0.6,-1.5,-2.1,0.0,,32.7,5.9,14.2,.417,3.2,8.7,.363,2.8,5.5,.503,.528,2.9,3.3,.872,3.2,3.6,4.5,1.2,0.2,2.3,2.5,17.9
Dillon Brooks,29,HOU,SF,27,27,849,10.6,.546,.508,.117,4.1,8.9,6.5,7.3,1.0,0.8,7.4,17.1,0.8,1.1,2.0,.112,-1.5,0.1,-1.4,0.1,,31.4,4.9,11.4,.427,2.3,5.8,.389,2.6,5.6,.467,.526,1.3,.833,1.3,2.6,3.9,1.6,0.6,0.3,3.4,13.1
Kyrie Irving,32,DAL,SG,24,24,848,21.2,.623,.374,.196,3.6,10.5,7.2,23.3,1.6,0.6,10.2,25.5,2.5,0.7,3.2,.182,5.1,-0.3,4.8,1.5,,35.3,8.9,17.6,.504,3.1,6.6,.468,5.8,11.0,.525,.591,3.0,3.5,.880,1.1,4.7,5.3,1.2,0.3,2.2,2.3,23.9
