Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Jerami Grant,30,POR,PF,25,25,825,12.4,.532,.503,.265,1.6,10.9,6.1,11.0,1.5,2.9,8.8,20.7,0.5,0.3,0.8,.049,-0.4,-1.0,-1.3,0.1,
RJ Barrett,24,TOR,SG,24,24,824,17.1,.546,.301,.312,2.9,18.8,10.7,29.1,1.1,1.3,13.8,30.3,0.5,0.5,1.0,.059,1.6,-1.0,0.7,0.6,
Christian Braun,23,DEN,SG,24,24,822,14.4,.652,.266,.324,3.7,11.6,7.8,7.0,1.8,1.7,10.4,15.7,1.3,0.6,2.0,.115,-0.2,-0.4,-0.5,0.3,
Myles Turner,28,IND,C,26,26,821,14.0,.594,.449,.272,4.4,20.8,12.7,7.2,1.3,6.1,16.1,20.7,0.0,0.9,0.9,.050,-1.8,-0.2,-2.0,0.0,
Nikola JokiÄ,29,DEN,C,22,22,819,31.9,.652,.213,.308,10.9,26.5,19.0,44.0,2.3,1.6,13.8,31.2,3.8,1.1,4.9,.286,10.1,2.7,12.8,3.0,
DeMar DeRozan,35,SAC,SF,23,23,816,18.6,.572,.129,.371,1.5,10.8,6.2,17.1,2.1,1.3,7.9,25.3,1.5,0.7,2.2,.131,0.8,-0.2,0.7,0.5,
Darius Garland,25,CLE,PG,27,27,810,20.2,.618,.454,.203,2.0,7.0,4.6,31.1,1.6,0.8,13.2,26.9,2.2,0.8,3.0,.178,3.8,-1.1,2.7,1.0,
Kelly Oubre Jr.,29,PHI,SF,25,22,804,13.1,.556,.397,.206,5.6,15.8,10.4,7.8,1.9,1.5,10.1,18.3,0.5,0.9,1.4,.082,-1.2,-0.2,-1.5,0.1,
Malik Beasley,28,DET,SG,28,8,803,14.6,.583,.690,.112,2.2,9.5,5.9,11.1,1.2,0.2,7.1,22.5,1.0,0.4,1.5,.090,2.0,-1.6,0.4,0.5,
Damian Lillard,34,MIL,PG,22,22,800,22.3,.622,.530,.401,1.7,11.5,6.8,32.8,1.4,0.5,12.7,28.8,2.5,0.6,3.0,.182,5.0,-1.1,3.8,1.2,
Zach LaVine,29,CHI,SF,24,24,800,17.2,.639,.484,.234,0.7,13.2,7.0,19.0,1.2,0.6,14.0,25.4,1.1,0.3,1.4,.085,2.2,-1.5,0.7,0.5,
Julian Champagnie,23,SAS,SF,27,26,797,12.7,.583,.719,.146,3.1,15.5,9.3,7.3,1.5,1.8,8.8,17.1,0.7,0.7,1.3,.080,-0.3,-0.8,-1.1,0.2,
Luguentz Dort,25,OKC,SF,27,27,795,12.5,.575,.670,.158,5.4,11.2,8.3,7.5,2.1,2.8,6.3,13.6,1.1,1.5,2.6,.158,-0.6,1.4,0.8,0.6,
Dennis SchrÃ¶der,31,2TM,PG,24,24,794,15.6,.574,.457,.246,0.6,10.1,5.2,32.4,1.6,0.5,14.4,24.4,1.0,0.3,1.3,.079,0.8,-1.5,-0.6,0.3,
Dennis SchrÃ¶der,31,BRK,PG,23,23,772,16.4,.588,.462,.249,0.6,10.1,5.3,32.5,1.7,0.5,14.1,24.2,1.2,0.3,1.5,.094,1.3,-1.3,0.0,0.4,
Dennis SchrÃ¶der,31,GSW,PG,1,1,22,-11.8,.194,.333,.167,0.0,9.6,4.7,29.5,0.0,0.0,23.7,31.9,-0.2,0.0,-0.2,-0.457,-15.0,-8.6,-23.6,-0.1,
Keyonte George,21,UTA,PG,25,25,791,11.8,.534,.569,.242,1.7,10.0,5.9,28.3,1.1,0.6,17.9,24.6,0.1,-0.2,-0.1,-0.007,-0.7,-3.2,-4.0,-0.4,
Evan Mobley,23,CLE,PF,26,26,786,22.2,.642,.180,.332,8.2,23.7,16.2,12.8,1.6,4.3,13.2,23.3,1.9,1.4,3.3,.201,2.1,1.2,3.3,1.1,
Jaden McDaniels,24,MIN,PF,26,26,779,11.1,.531,.428,.131,4.7,11.2,8.0,8.7,2.2,2.5,9.8,15.6,0.2,1.3,1.5,.093,-2.6,1.6,-1.0,0.2,
Jaylen Brown,28,BOS,SF,22,22,778,17.7,.548,.384,.329,4.2,13.9,9.0,20.8,1.6,0.9,11.1,29.5,0.8,0.9,1.8,.109,0.5,-1.1,-0.6,0.3,
Payton Pritchard,27,BOS,PG,27,0,776,19.5,.669,.778,.141,4.9,9.2,7.0,17.1,1.6,0.3,8.1,19.9,2.6,0.8,3.3,.207,4.6,-0.1,4.5,1.3,
Harrison Barnes,32,SAS,PF,27,27,771,12.9,.625,.461,.373,6.1,9.5,7.8,8.3,0.5,0.6,7.4,14.2,1.5,0.2,1.7,.109,0.4,-1.9,-1.5,0.1,
Chris Paul,39,SAS,PG,27,27,766,16.9,.593,.644,.176,2.1,13.4,7.8,41.3,2.6,0.7,19.1,15.2,1.7,0.8,2.5,.155,1.1,0.6,1.7,0.7,
Jaden Ivey,22,DET,SG,25,25,759,14.0,.542,.365,.308,4.7,10.2,7.5,21.4,1.5,1.3,15.8,26.7,0.1,0.6,0.6,.039,-0.4,-1.2,-1.6,0.1,
Brandon Miller,22,CHO,SF,22,22,757,14.9,.545,.594,.163,2.9,14.1,8.2,17.3,1.6,2.3,12.8,27.9,0.2,0.6,0.8,.050,1.5,-1.0,0.5,0.5,
Gradey Dick,21,TOR,SG,23,23,746,12.9,.558,.504,.267,2.5,9.2,5.8,8.9,1.2,0.8,9.1,23.3,0.6,0.2,0.9,.057,-0.1,-1.8,-1.9,0.0,
John Collins,27,UTA,PF,25,16,744,20.2,.639,.266,.308,8.6,21.7,15.2,14.3,1.8,2.8,15.1,23.3,1.5,0.4,1.9,.123,2.0,-0.4,1.7,0.7,
Anfernee Simons,25,POR,SG,24,24,744,14.3,.548,.520,.209,1.0,8.4,4.5,24.8,1.4,0.3,12.5,24.7,0.7,0.1,0.8,.051,0.7,-2.3,-1.6,0.1,
Austin Reaves,26,LAL,SG,22,22,741,14.9,.577,.556,.264,2.6,9.7,6.1,22.3,1.6,0.5,12.5,22.1,0.9,0.4,1.2,.079,0.6,-1.3,-0.7,0.2,
Santi Aldama,24,MEM,PF,28,11,741,18.5,.614,.434,.138,6.6,22.4,14.8,15.5,1.6,1.9,10.2,18.5,1.6,1.3,2.9,.188,2.8,1.3,4.1,1.1,
Luka DonÄiÄ,25,DAL,PG,20,20,739,24.6,.580,.457,.313,2.1,22.0,12.5,35.1,2.7,1.1,12.2,32.5,1.8,1.1,3.0,.192,5.7,1.1,6.8,1.7,
Jrue Holiday,34,BOS,PG,24,24,734,13.5,.563,.550,.186,3.8,10.7,7.2,18.2,1.2,1.1,11.5,17.4,1.1,0.7,1.8,.117,0.0,-0.1,-0.1,0.4,
Josh Giddey,22,CHI,PG,27,27,732,15.8,.540,.374,.230,4.8,19.8,12.4,34.9,1.6,1.4,19.7,21.1,0.6,0.6,1.2,.079,0.6,0.1,0.8,0.5,
Carlton Carrington,19,WAS,PG,25,17,732,7.7,.491,.531,.118,1.4,14.9,8.1,18.8,1.5,0.9,18.1,15.3,-0.5,0.1,-0.4,-0.025,-4.6,-0.9,-5.5,-0.6,
Rui Hachimura,26,LAL,PF,22,22,730,12.8,.587,.357,.222,6.0,12.5,9.2,7.4,1.5,1.8,8.8,14.9,0.9,0.5,1.3,.087,-0.7,-0.7,-1.4,0.1,
Cody Martin,29,CHO,SF,28,6,729,12.7,.546,.495,.167,4.2,16.0,9.8,12.9,2.2,2.7,11.7,14.8,0.6,0.7,1.3,.084,-1.5,0.8,-0.7,0.2,
Amen Thompson,22,HOU,SF,27,2,728,17.1,.608,.142,.447,8.5,18.2,13.3,11.4,2.1,3.2,15.7,17.7,1.0,1.5,2.6,.169,0.3,2.5,2.8,0.9,
Jaren Jackson Jr.,25,MEM,C,26,26,726,22.5,.627,.336,.356,5.1,16.3,10.9,7.9,2.5,5.8,10.2,27.6,1.6,1.5,3.1,.204,2.4,1.9,4.2,1.1,
Josh Green,24,CHO,SG,26,25,725,7.7,.545,.533,.150,3.8,6.5,5.1,8.1,1.6,1.3,12.3,11.8,0.3,0.3,0.7,.043,-4.2,-0.4,-4.5,-0.5,
Collin Sexton,26,UTA,SG,26,24,724,15.2,.616,.344,.318,3.1,7.1,5.2,19.5,1.2,0.4,16.1,24.5,1.0,-0.2,0.8,.055,0.4,-2.7,-2.3,-0.1,
Davion Mitchell,26,TOR,PG,27,13,723,7.5,.490,.480,.181,2.1,7.2,4.6,24.4,1.5,0.9,22.3,13.7,-0.1,0.2,0.1,.007,-4.1,-0.7,-4.8,-0.5,
Jamal Murray,27,DEN,PG,20,20,721,15.2,.533,.371,.233,1.4,10.1,5.9,23.8,2.0,1.5,10.2,22.8,0.7,0.5,1.2,.083,0.0,-0.7,-0.7,0.3,
Victor Wembanyama,21,SAS,C,22,22,716,24.6,.601,.494,.229,6.4,26.9,16.7,21.5,1.8,9.6,15.2,31.5,0.6,1.3,2.0,.134,3.9,2.8,6.7,1.6,
Deni Avdija,24,POR,SF,27,12,713,15.4,.575,.422,.386,4.8,19.3,11.8,17.3,1.7,2.7,15.8,20.3,0.7,0.5,1.2,.081,0.4,0.0,0.4,0.4,
Jordan Poole,25,WAS,SG,23,23,712,16.2,.589,.522,.292,0.9,7.2,4.0,26.8,2.6,1.4,16.6,28.0,0.3,0.2,0.5,.035,1.2,-1.4,-0.2,0.3,
Cason Wallace,21,OKC,SG,27,16,711,11.4,.505,.491,.040,4.9,9.3,7.1,10.6,3.0,3.0,8.7,11.7,0.4,1.5,1.9,.128,-2.0,2.7,0.7,0.5,
Anthony Black,21,ORL,PG,29,1,706,10.5,.514,.341,.355,2.4,11.0,6.5,22.9,2.0,3.0,20.8,18.9,-0.4,1.2,0.8,.051,-3.4,1.2,-2.1,0.0,
